seq,frame,type,gt_id_old,gt_id_new,track_id,note
V002,685,switch,272,272,307,tracker 278 -> 307 on gt 272
V002,718,switch,7,7,238,tracker 240 -> 238 on gt 7
V002,718,switch,270,270,240,tracker 238 -> 240 on gt 270
V002,719,reuse,270,7,238,tracker 238 matched gt 270 (last frame 717) now gt 7
V002,719,reuse,7,270,240,tracker 240 matched gt 7 (last frame 717) now gt 270
V002,798,switch,1,1,317,tracker 311 -> 317 on gt 1
V002,824,reuse,259,286,300,tracker 300 matched gt 259 (last frame 817) now gt 286
V002,826,switch,286,286,327,tracker 300 -> 327 on gt 286
V002,837,switch,272,272,330,tracker 307 -> 330 on gt 272
V002,859,switch,272,272,256,tracker 330 -> 256 on gt 272
V002,859,switch,273,273,330,tracker 256 -> 330 on gt 273
V002,860,reuse,273,272,256,tracker 256 matched gt 273 (last frame 852) now gt 272
V002,860,reuse,272,273,330,tracker 330 matched gt 272 (last frame 858) now gt 273
V002,865,switch,271,271,335,tracker 288 -> 335 on gt 271
V002,875,reuse,290,293,334,tracker 334 matched gt 290 (last frame 873) now gt 293
V002,876,switch,290,290,338,tracker 334 -> 338 on gt 290
V002,882,switch,275,275,339,tracker 272 -> 339 on gt 275
V002,885,switch,290,290,334,tracker 338 -> 334 on gt 290
V002,885,switch,293,293,338,tracker 334 -> 338 on gt 293
V002,886,reuse,293,290,334,tracker 334 matched gt 293 (last frame 877) now gt 290
V002,886,reuse,290,293,338,tracker 338 matched gt 290 (last frame 884) now gt 293
V002,891,switch,250,250,345,tracker 293 -> 345 on gt 250
V002,915,switch,290,290,336,tracker 334 -> 336 on gt 290
V002,915,switch,291,291,334,tracker 336 -> 334 on gt 291
V002,916,reuse,291,290,336,tracker 336 matched gt 291 (last frame 911) now gt 290
V002,916,reuse,290,291,334,tracker 334 matched gt 290 (last frame 914) now gt 291
V002,937,switch,285,285,319,tracker 320 -> 319 on gt 285
V002,938,reuse,4,285,319,tracker 319 matched gt 4 (last frame 932) now gt 285
V002,941,switch,280,280,350,tracker 302 -> 350 on gt 280
V002,942,switch,4,4,320,tracker 319 -> 320 on gt 4
V002,947,switch,55,55,320,tracker 259 -> 320 on gt 55
V002,948,reuse,285,55,320,tracker 320 matched gt 285 (last frame 936) now gt 55
V002,950,reuse,55,4,320,tracker 320 matched gt 55 (last frame 949) now gt 4
V002,954,switch,55,55,355,tracker 320 -> 355 on gt 55
V002,967,switch,257,257,236,tracker 251 -> 236 on gt 257
V002,968,reuse,254,257,236,tracker 236 matched gt 254 (last frame 966) now gt 257
V002,974,switch,254,254,364,tracker 236 -> 364 on gt 254
V002,985,switch,3,3,367,tracker 324 -> 367 on gt 3
V002,1000,switch,55,55,370,tracker 355 -> 370 on gt 55
V002,1001,switch,15,15,324,tracker 255 -> 324 on gt 15
V002,1002,reuse,3,15,324,tracker 324 matched gt 3 (last frame 956) now gt 15
V002,1005,switch,273,273,247,tracker 330 -> 247 on gt 273
V002,1006,reuse,295,273,247,tracker 247 matched gt 295 (last frame 1004) now gt 273
V002,1013,reuse,264,289,250,tracker 250 matched gt 264 (last frame 1012) now gt 289
V002,1015,switch,15,15,368,tracker 324 -> 368 on gt 15
V002,1025,switch,55,55,299,tracker 370 -> 299 on gt 55
V002,1026,reuse,183,55,299,tracker 299 matched gt 183 (last frame 1023) now gt 55
V002,1040,switch,13,13,371,tracker 361 -> 371 on gt 13
V002,1041,switch,177,177,370,tracker 215 -> 370 on gt 177
V002,1042,reuse,55,177,370,tracker 370 matched gt 55 (last frame 1024) now gt 177
V002,1051,switch,183,183,324,tracker 299 -> 324 on gt 183
V002,1052,reuse,15,183,324,tracker 324 matched gt 15 (last frame 1013) now gt 183
V002,1053,switch,285,285,370,tracker 319 -> 370 on gt 285
V002,1054,reuse,177,285,370,tracker 370 matched gt 177 (last frame 1048) now gt 285
V002,1057,switch,285,285,319,tracker 370 -> 319 on gt 285
V002,1058,switch,55,55,324,tracker 299 -> 324 on gt 55
V002,1058,switch,177,177,215,tracker 370 -> 215 on gt 177
V002,1059,reuse,183,55,324,tracker 324 matched gt 183 (last frame 1057) now gt 55
V002,1061,reuse,55,183,324,tracker 324 matched gt 55 (last frame 1060) now gt 183
V002,1068,switch,55,55,375,tracker 324 -> 375 on gt 55
V002,1068,switch,277,277,285,tracker 287 -> 285 on gt 277
V002,1069,reuse,279,277,285,tracker 285 matched gt 279 (last frame 1067) now gt 277
V002,1072,switch,277,277,350,tracker 285 -> 350 on gt 277
V002,1080,switch,6,6,358,tracker 340 -> 358 on gt 6
V002,1080,switch,294,294,340,tracker 358 -> 340 on gt 294
V002,1081,reuse,294,6,358,tracker 358 matched gt 294 (last frame 1079) now gt 6
V002,1081,reuse,6,294,340,tracker 340 matched gt 6 (last frame 1078) now gt 294
V002,1095,switch,285,285,381,tracker 319 -> 381 on gt 285
V002,1147,switch,281,281,215,tracker 310 -> 215 on gt 281
V002,1148,reuse,177,281,215,tracker 215 matched gt 177 (last frame 1146) now gt 281
V002,1173,switch,283,283,388,tracker 318 -> 388 on gt 283
V002,1189,switch,281,281,391,tracker 215 -> 391 on gt 281
V002,1193,reuse,281,177,215,tracker 215 matched gt 281 (last frame 1162) now gt 177
V002,1225,switch,4,4,340,tracker 320 -> 340 on gt 4
V002,1225,switch,294,294,320,tracker 340 -> 320 on gt 294
V002,1226,reuse,294,4,340,tracker 340 matched gt 294 (last frame 1224) now gt 4
V002,1226,reuse,4,294,320,tracker 320 matched gt 4 (last frame 1223) now gt 294
V002,1240,switch,55,55,397,tracker 375 -> 397 on gt 55
V002,1241,switch,32,32,398,tracker 394 -> 398 on gt 32
V002,1299,switch,12,12,170,tracker 357 -> 170 on gt 12
V002,1300,switch,32,32,406,tracker 398 -> 406 on gt 32
V002,1300,reuse,178,12,170,tracker 170 matched gt 178 (last frame 1298) now gt 12
V002,1303,switch,11,11,408,tracker 313 -> 408 on gt 11
V002,1305,switch,13,13,170,tracker 371 -> 170 on gt 13
V002,1306,switch,32,32,396,tracker 398 -> 396 on gt 32
V002,1306,switch,33,33,406,tracker 396 -> 406 on gt 33
V002,1307,reuse,33,32,396,tracker 396 matched gt 33 (last frame 1305) now gt 32
V002,1317,switch,21,21,250,tracker 412 -> 250 on gt 21
V002,1318,reuse,289,21,250,tracker 250 matched gt 289 (last frame 1316) now gt 21
V002,1323,switch,13,13,417,tracker 371 -> 417 on gt 13
V002,1324,switch,14,14,170,tracker 365 -> 170 on gt 14
V002,1324,switch,178,178,365,tracker 170 -> 365 on gt 178
