seq,frame,type,gt_id_old,gt_id_new,track_id,old_hid,last_frame,gap,IoU_last,dx_last,dy_last,dist_last,IoU_prev,IoU_next,IoU_swap,dist_swap,area_ratio,na_flag
V001,554,switch,15,15,22,47,553,1,0.90601452,-0.25000000,-1.60000000,1.61941347,0.90601452,0.89572656,,,0.90601452,no_old
V001,555,reuse,17,15,22,0,554,1,0.89572656,1.05000000,-1.05000000,1.48492424,0.89572656,0.96774070,,,0.90573841,
V001,559,reuse,15,17,22,0,558,1,0.67119410,6.15000000,1.30000000,6.28589691,0.67119410,0.80832975,,,1.10682322,
V001,570,switch,18,18,67,24,,,,,,,,0.94631745,0.00000000,57.22379313,,no_last_seen|no_prev
V001,580,switch,31,31,21,58,579,1,0.87024074,-1.95000000,0.05000000,1.95064092,0.87024074,0.90915272,,,1.01909015,no_old
V001,581,reuse,54,31,21,0,580,1,0.90915272,-1.15000000,0.55000000,1.27475488,0.90915272,0.85814141,,,1.04852844,
V001,582,reuse,17,15,22,0,581,1,0.87451987,-2.25000000,-0.70000000,2.35637433,0.87451987,0.89903822,,,1.01576020,
V001,589,reuse,15,17,22,0,588,1,0.95486363,-0.30000000,-0.95000000,0.99624294,0.95486363,0.93179285,,,0.95486363,
V001,596,switch,15,15,57,22,585,11,0.06188749,-31.30000000,0.90000000,31.31293662,,0.86641978,0.27508204,19.87775138,0.94428480,no_prev
V001,597,reuse,79,15,57,0,596,1,0.86641978,-2.10000000,-1.15000000,2.39426398,0.86641978,0.92757548,,,0.95690617,
V002,313,reuse,14,76,98,0,310,3,0.87297001,-2.00000000,-1.45000000,2.47032387,,0.96162691,,,0.98023786,no_prev
V002,317,switch,17,17,98,100,316,1,0.88047503,-2.10000000,0.60000000,2.18403297,0.88047503,0.92070061,,,0.96325282,no_old
V002,318,switch,76,76,105,98,,,,,,,,0.87754137,0.45262375,13.52081728,,no_last_seen|no_prev
V002,318,reuse,76,17,98,0,317,1,0.92070061,-1.25000000,0.75000000,1.45773797,0.92070061,0.80002374,,,0.97550807,
V002,348,switch,38,38,111,79,,,,,,,,0.85174581,0.07282766,89.90613160,,no_last_seen|no_prev
V002,350,reuse,56,48,107,0,349,1,0.91305436,-0.80000000,0.45000000,0.91787799,0.91305436,0.97137493,,,1.00165837,
V002,353,switch,56,56,113,107,,,,,,,,0.89650360,0.36191267,9.86154146,,no_last_seen|no_prev
V002,358,switch,28,28,96,87,357,1,0.67367231,6.80000000,0.95000000,6.86603962,0.67367231,0.79661371,0.47384132,11.78812962,1.07144445,
V002,359,reuse,31,28,96,0,358,1,0.79661371,3.55000000,0.80000000,3.63902459,0.79661371,0.86759653,,,1.09714872,
V002,364,switch,31,31,82,96,363,1,0.86544703,0.35000000,-3.30000000,3.31850870,0.86544703,0.91216038,0.15893222,25.08565327,0.87318519,
V002,365,reuse,29,31,82,0,364,1,0.91216038,0.15000000,-2.10000000,2.10535033,0.91216038,0.97027969,,,0.92087753,
V002,366,switch,29,29,116,82,,,,,,,,0.98489909,0.48920391,19.67256974,,no_last_seen|no_prev
V002,374,reuse,59,58,91,0,373,1,0.83188773,1.40000000,-1.15000000,1.81176709,0.83188773,0.68470272,,,0.95151578,
V002,383,reuse,48,49,107,0,382,1,0.92585781,-0.70000000,0.45000000,0.83216585,0.92585781,0.95459319,,,1.01998331,
V002,389,switch,18,18,97,95,388,1,0.58052380,-7.10000000,0.30000000,7.10633520,0.58052380,0.75175683,0.00325210,28.63721355,1.14391496,
V002,390,reuse,67,18,97,0,389,1,0.75175683,-3.95000000,1.40000000,4.19076365,0.75175683,0.75963901,,,1.03512858,
V002,391,switch,42,42,99,101,390,1,0.72922714,-3.55000000,0.40000000,3.57246414,0.72922714,0.77178442,0.17059796,17.55861612,0.95795093,
V002,392,reuse,15,42,99,0,391,1,0.77178442,-3.00000000,-0.05000000,3.00041664,0.77178442,0.91459515,,,1.02674646,
V002,394,switch,9,9,108,106,393,1,0.82272862,-3.20000000,-2.05000000,3.80032893,0.82272862,0.86080923,,,0.98709908,no_old
V002,395,switch,48,48,113,107,394,1,0.83323877,2.10000000,-0.05000000,2.10059515,0.83323877,0.95010854,0.01283473,22.90349318,0.98130129,
V002,395,switch,67,67,119,97,,,,,,,,0.93033199,0.13885344,23.57382022,,no_last_seen|no_prev
V002,395,reuse,10,9,108,0,394,1,0.86080923,2.50000000,0.20000000,2.50798724,0.86080923,0.89019691,,,0.95721398,
V002,395,reuse,42,15,99,0,394,1,0.77141821,3.05000000,0.45000000,3.08301800,0.77141821,0.61403575,,,1.04515439,
V002,396,reuse,56,48,113,0,395,1,0.95010854,0.55000000,-0.20000000,0.58523500,0.95010854,0.93053511,,,1.00719533,
V002,400,switch,17,17,106,98,376,24,0.09769952,27.80000000,-40.30000000,48.95845177,,0.93143833,,,1.13552065,no_prev|no_old
V002,401,reuse,9,17,106,0,400,1,0.93143833,-1.00000000,-1.20000000,1.56204994,0.93143833,0.95303246,,,0.98299725,
V002,404,switch,26,26,82,76,400,4,0.77357311,-5.05000000,2.40000000,5.59128787,,0.96663780,,,1.00860996,no_prev|no_old
V002,405,switch,10,10,98,108,390,15,0.27534690,-6.90000000,45.70000000,46.21796188,,,0.64466911,8.07093551,1.14302130,no_prev|no_next
V002,405,switch,15,15,120,99,,,,,,,,0.91455336,0.33435273,11.70982493,,no_last_seen|no_prev
V002,405,reuse,31,26,82,0,404,1,0.96663780,-0.30000000,-0.25000000,0.39051248,0.96663780,0.96648283,,,0.97911445,
V002,405,reuse,15,42,99,0,404,1,0.93799308,0.65000000,0.15000000,0.66708320,0.93799308,0.91654885,,,0.97797865,
V002,407,reuse,17,10,98,0,405,2,0.89229698,0.90000000,3.35000000,3.46878941,,0.87278085,,,1.06353182,no_prev
V002,408,switch,41,41,95,90,390,18,0.70483314,-3.75000000,2.90000000,4.74051685,,0.83363837,,,0.92516738,no_prev|no_old
V002,409,reuse,18,41,95,0,408,1,0.83363837,1.80000000,1.90000000,2.61725047,0.83363837,0.79443992,,,1.09042239,
V002,418,reuse,61,57,85,0,417,1,0.65994291,-3.15000000,-0.85000000,3.26266762,0.65994291,0.82718495,,,0.92094252,
V002,423,switch,61,61,88,85,422,1,0.91034483,-0.60000000,0.70000000,0.92195445,0.91034483,0.94036544,,,1.06716418,no_old
V002,424,reuse,60,61,88,0,423,1,0.94036544,-0.45000000,0.30000000,0.54083269,0.94036544,0.92924528,,,0.95878518,
V002,425,reuse,61,60,88,0,424,1,0.92924528,0.55000000,-0.55000000,0.77781746,0.92924528,0.95111516,,,1.00673866,
V002,426,reuse,60,61,88,0,425,1,0.95111516,-0.25000000,0.20000000,0.32015621,0.95111516,0.91910596,,,0.95111516,
V002,427,switch,31,31,96,82,425,2,0.50031650,-10.55000000,5.70000000,11.99135105,,0.89584412,0.31177682,21.73045098,1.20156599,no_prev
V002,427,reuse,61,60,88,0,426,1,0.91910596,0.80000000,-0.10000000,0.80622577,0.91910596,0.98777795,,,1.00000000,
V002,428,reuse,28,31,96,0,427,1,0.89584412,0.55000000,3.00000000,3.05000000,0.89584412,,,,1.10610104,no_next
V002,429,switch,9,9,106,108,428,1,0.90689013,-1.25000000,0.45000000,1.32853303,0.90689013,0.95002026,,,1.04684632,no_old
V002,430,reuse,17,9,106,0,429,1,0.95002026,-0.50000000,-1.15000000,1.25399362,0.95002026,0.96806190,,,1.04667673,
V002,432,reuse,60,61,88,0,431,1,0.83918273,-1.40000000,-0.65000000,1.54353490,0.83918273,0.86918971,,,0.96163952,
V002,435,reuse,31,28,96,0,428,7,0.39247741,16.45000000,-1.90000000,16.55936291,,0.80284949,,,0.90535518,no_prev
V002,442,switch,31,31,116,96,441,1,0.82630799,-2.45000000,-1.75000000,3.01081384,0.82630799,0.94995130,0.51490144,19.98605764,0.92373099,
V002,443,switch,60,60,123,88,,,,,,,,0.91232953,0.35146776,9.66656609,,no_last_seen|no_prev
V002,443,reuse,29,31,116,0,442,1,0.94995130,0.70000000,-0.10000000,0.70710678,0.94995130,0.94145265,,,0.98647493,
V002,448,switch,17,17,125,106,,,,,,,,0.92959436,0.03337336,32.49249913,,no_last_seen|no_prev
